ECL
GWW
PGR
IBM
FITB
CTSH
PAYC
DAL
CTXS
ALK
TROW
ADI
WY
UPS
MCK
CHTR
ELV
WELL
BEN
UDR
NSC
AON
PXD
GLW
XRAY
AFL
AES
EFX
VFC
ALLE
CDAY
PEAK
MMM
WMB
KEYS
RCL
LKQ
RSG
TFX
HUM
SPGI
BK
HPE
NWS
NEM
FBHS
EMR
AEP
WST
ALGN
RMD
VNO
MCHP
WDC
LYB
CPT
ESS
AAPL
AWK
ABBV
MTCH
APH
TSLA
BALL
EIX
AVGO
MNST
GOOGL
TDG
ON
ABT
DXC
BAX
MS
CTLT
EXC
DE
ROST
LH
RE
EBAY
ROL
DHR
FMC
V
RHI
OMC
LUV
TER
EPAM
EL
MPC
CCI
BWA
URI
PENN
YUM
SYF
IDXX
SYY
